,model_name,word,top_1,top_2,top_3,top_4,top_5,top_6,top_7,top_8,top_9,top_10,top_11,top_12,top_13,top_14,top_15,top_16,top_17,top_18,top_19,top_20,top_21,top_22,top_23,top_24,top_25,top_26,top_27,top_28,top_29,top_30,top_31,top_32,top_33,top_34,top_35,top_36,top_37,top_38,top_39,top_40,top_41,top_42,top_43,top_44,top_45,top_46,top_47,top_48,top_49,top_50,top_51,top_52,top_53,top_54,top_55,top_56,top_57,top_58,top_59,top_60,top_61,top_62,top_63,top_64,top_65,top_66,top_67,top_68,top_69,top_70,top_71,top_72,top_73,top_74,top_75,top_76,top_77,top_78,top_79,top_80,top_81,top_82,top_83,top_84,top_85,top_86,top_87,top_88,top_89,top_90,top_91,top_92,top_93,top_94,top_95,top_96,top_97,top_98,top_99,top_100
10,20,other,isabella,rarities,sign,pogrom,tres,abominable,canard,corfu,ideogram,responsibility,ramsey,indictees,eurostar,diameters,spectrum,recounted,musket,declarative,stanley,satyr,gto,grenada,coloureds,lettering,toon,apologists,ige,science,gan,trouser,generalitat,crassus,salina,pals,polygonal,pose,republics,contexts,lfheim,bridal,prominence,became,mun,mandrakelinux,metastable,gainsborough,helaman,nighttime,microcontrollers,euston,visually,alef,winfrey,pronunciations,inter,subsection,mehrgarh,pampas,retrieved,hurrians,lubricant,chess,disagreements,salvation,stuffed,sobel,unintelligible,jammed,purge,lubbers,oversee,yat,interruption,horticultural,issuing,convulsions,admirable,raison,deliberately,col,painter,rimbaud,jewell,cmb,multiracial,schumann,shreck,yitzchak,billie,gi,arthur,dipyramid,prudence,ets,elsewhere,montt,chamberlain,archbishop,outstripped,ferrite
11,200,been,exotic,glittering,saimei,lapses,demographics,chimes,wwii,mahmud,praia,isao,liberating,bayonets,maslow,cascade,quadratic,broth,diesel,deprecating,distract,morally,kilometres,fails,obrzeg,subcultures,foodstuffs,arendt,adherents,breached,capua,roosevelt,repulse,amc,element,devry,engages,rowan,charcot,landscape,effluents,grotto,davao,panhandle,pickens,normality,sloti,wishful,conscription,alexei,langley,itching,hoe,joins,leeds,clear,lookout,gallant,vitellius,interpretive,neoplatonism,interception,carnap,repair,infinitely,republics,dignity,rockall,battering,nukem,caviar,pseudonym,westinghouse,nonconfirmative,sulu,charon,lyrically,taj,argus,monrovia,improvisation,modernizing,internationale,mansions,venice,organize,thorndike,ramzi,surname,eloquence,evening,piazza,euthanasia,overthrown,colon,cpu,monika,studio,uncontrollably,rituals,wastewater,encounters
12,200,time,engravers,gentle,pseudocode,shaft,ohlin,revolutionized,never,mexicana,milking,traversed,flamingo,cooperstown,regardless,academia,magadha,becomes,minyan,counterparts,ime,fichte,coronae,laval,resident,menezes,stapleton,authorizes,statist,iic,nightlife,domitian,commercials,shinogi,badge,nite,netherland,mccarthyism,olympic,marion,vern,eval,coyotes,ujjain,soga,splinter,laypeople,quaternary,pda,enabled,stow,oeis,deferred,amazonas,ascetics,ambient,europ,lillee,warez,continuously,electrophilic,puns,household,wheat,aldehydes,asymmetrical,vernet,outcrops,shaped,descendants,uncover,geocache,unspecific,drainage,gallen,beaton,ecology,dispersion,semen,logs,raf,antipope,recognition,holbein,guildhall,fenton,fergus,wha,doughnut,harlan,evenly,diminutive,gein,unital,zebu,alcoholism,renn,copyrights,supergroup,reneged,viewpoints,receiver
13,200,over,assassinate,launch,hoare,galilee,rewarded,rube,trier,empirically,manoeuvre,eur,patches,laboratories,katakana,appended,pact,proficient,cleese,seclusion,wikitravel,custard,retain,bunch,vantaa,integrate,erick,overloading,ethics,dowland,pentecostal,tasso,upstairs,mejid,minotaurs,informative,jsp,constructing,geometries,latinos,precious,reuse,roasting,foucault,mistresses,reachable,compagnie,foregone,pfc,distribution,raimi,lovin,tempus,quaestor,prussia,efficiency,rigging,mannered,halloween,vanilla,skiego,superlatives,mckernan,gto,sublime,tachycardia,undermined,surfing,dismissive,gsm,portage,gladiators,luther,gemstone,kamehameha,invert,censor,heir,unrequited,scalability,dresser,bidirectional,lassen,fouls,laurens,please,org,machen,preferentially,donahue,eudoxia,conjecture,straining,database,divergent,logs,nationale,rod,nasrallah,mccourt,donau,spooner
14,200,not,innocence,nominate,direct,uncertainties,muons,boomerang,loot,cistern,huckleberry,kings,tahiti,sweetener,keyser,hydrosphere,graphical,xc,prescribe,wow,christiern,armed,cobb,manatee,bosco,hadrian,garb,roleplay,cromwell,opengl,iron,traffickers,steffi,mutton,sandpaper,gbu,quaternion,prescriptive,germinate,confidently,akc,pitot,southerner,metz,nayla,conjunction,chalmers,rubble,monograph,timorese,incapacity,milo,clauses,nai,yell,blanco,polluted,tethys,cursive,capsules,simcity,mishnaic,photos,selectively,hellenistic,arabic,mcenroe,jurisdictions,hwv,amongst,thoroughbred,ethnographers,rerum,propel,slovaks,srivijaya,maclennan,tasman,objectivism,rockville,hermetical,gerard,transoxiana,lexikon,autostrada,indra,gimps,protons,competitions,roundel,warbird,semper,kilkenny,timescale,channing,recitation,slipper,subduction,purchasing,belt,subfields,exposing
15,200,three,maccabean,navis,hexagrams,dispel,scullin,photosynthesis,intuitionist,feeder,navigation,askari,interdisciplinarity,request,minivan,maltose,xerox,terribly,canaries,fushimi,militare,sonnet,margins,tinted,kamen,diffusion,stood,narrower,punctured,guilt,lastnode,anger,baron,basing,refracted,lucie,manic,hierarchy,quisling,flint,hani,refugees,assemblages,sports,emirs,checked,failings,valued,colonialism,sandstone,sparsely,hoax,wikisource,bangla,servicing,mitchell,eisenstein,freising,sizing,kant,unwitting,afp,craft,actinidia,commemorative,daimlerchrysler,boii,aetius,salinger,extermination,duct,signet,bushy,hessian,gazette,specification,smallville,jadwiga,catastrophe,lerner,sweep,inserts,etruria,mtu,cycladic,urartu,haikai,investigated,ramsay,handmade,petitioning,unused,sprouted,heated,residential,paleozoic,housemate,subset,gnome,afforded,meru,oddie
16,200,between,heraclea,mamre,experimented,karl,aldrich,beauvoir,lucasfilm,viewership,gu,alludes,cancels,thinks,rubbish,watched,unfree,timescales,reissue,ionization,luis,youngest,restrain,sloane,galton,movie,cel,shapiro,waldseem,properties,priests,whenever,year,ascend,nearer,audi,mathias,bounces,sandro,contraceptive,diplomas,path,rattle,mfm,glassy,purchasers,eleusinian,meandering,gilded,bryozoans,suspensions,partnership,resistor,shetland,impoverished,adopt,tetrahedra,mixtures,watford,watkins,furigana,transcend,lfflin,sandwich,prohibiting,bulldogs,richthofen,microprogramming,voicing,behaves,infection,circled,australes,posthumous,encode,misleadingly,mescaline,asturias,antoine,bathtub,jsf,rg,dominicans,curtains,dolphin,beretta,fink,kista,transformer,hog,recoverable,him,anaesthetics,forges,anomalies,workflow,auc,dismantled,arden,takeover,transcending,dead
17,200,from,rem,ducks,palpatine,smithers,ever,unification,badlands,democracy,viet,vices,kinky,garis,aris,isotope,impoverished,awaits,atypical,ats,county,silverman,verbs,gandy,aground,martialed,amerigo,kilowatt,chromatography,blurring,melissa,bassline,instrument,britten,niccolo,luisa,downey,anointing,hogshead,portillo,dictation,puppetry,basica,pullman,gtp,uplift,neither,lactam,ayrton,kasparov,bulldog,mckinney,immortalised,nonmetals,anabaptism,bianca,squeeze,prussia,mistake,dalglish,spawning,synchronize,drowsiness,orientalist,rachmaninoff,odense,addons,ramon,pancho,compiles,valencia,critique,stretched,proconsular,cochrane,tires,uncontroversial,thunderstorm,sled,lahoud,smitten,petitions,binghamton,golf,reverence,xxix,bukovina,lessen,ziggy,cathal,plea,coco,meetings,rightmost,ascribe,exceedingly,valid,metaphoric,radiology,charterers,uncovering,electoral
18,200,eight,cornerback,agonists,grams,timecode,margrethe,tem,stockholders,indians,vittoria,kr,seawater,subterranean,kazakhstan,chimera,gnome,familia,buyout,managua,practices,compacted,basset,graves,caddy,turnbull,glasnost,mamluk,subscription,eponym,goggles,hicks,neuroimaging,tropospheric,truer,alhazen,rachmaninoff,leather,dopant,sennett,destructor,barred,basses,maxwell,thru,helms,presbyter,negroes,historical,manga,oas,afonso,unimpressed,haikai,slimmer,iranian,desmodromic,mismanagement,spectacular,agent,glycosides,bully,slowly,truth,dandyism,fpgas,geared,dempsey,yea,mahdi,audiovisual,millsaps,lengths,diatomaceous,barberini,odin,wrote,leprosy,metaphorically,carmack,edif,isla,wizards,jock,hypomanic,tackling,myrrh,addons,verdeans,usurpation,auguste,hague,wu,commentaries,ayyash,hires,turnip,glasses,rebate,microchip,recorded,muscovy
19,200,they,contentious,morgan,triumphant,selwyn,century,affinities,idris,decibel,fibre,apart,outcrops,frisians,aussie,obtains,physiologic,ark,spurred,exchanging,commutation,plateaus,ferroelectric,outreach,airships,ackroyd,guinevere,petrochemicals,saline,universidade,innovators,berthold,escorial,amateurs,mazzola,grades,dtd,central,krylov,inaugurated,editing,jg,ideation,dukkha,harpo,mistress,musketeers,hiking,hillman,mbta,cesium,grothendieck,matrix,identical,exploitation,outward,peninsular,glitter,rsc,inexpensively,raider,armchair,injecting,sailed,contexts,bridgeport,cuzco,fountain,chinatown,corps,bellini,conciliatory,lucius,centers,cahokia,stratosphere,monday,tunings,griffiths,cfo,nansen,louisbourg,alen,problem,beadwork,kushans,coexisted,halfwidth,segmented,diligent,prairie,population,broadway,arbuckle,our,tumor,madeline,miso,anointed,delineate,wonderswan,revolution
20,200,more,assumption,balder,kinross,glorantha,convinces,differentiable,zaragoza,gadamer,nathaniel,sincerity,folsom,tides,unchanging,cached,honouring,plaintiffs,correlate,notes,engulfed,fairey,handoff,migrating,karami,kofi,incorruptible,oversized,pleasures,croydon,tensile,abm,wilburys,interchangeable,breakthrough,location,irda,avalanches,frisch,leste,viterbo,cakes,liaisons,terraced,governmental,declined,z,lactam,casually,notary,kzinti,separation,toluene,rothbard,bs,gad,moist,roshan,danelaw,exterior,muppets,nootka,judaism,gra,hollingworth,knopf,bachelor,otherwise,wagers,simpler,webelements,untold,lashes,anthropos,experts,condominium,newington,hashemite,crested,maquis,glorified,galapagos,mnt,festive,destiny,educators,compl,patriarchates,superficial,eolian,bouncing,fabio,rehabilitation,impressed,interacted,bro,chlorides,mauser,stylization,cofactor,knitted,interdisciplinarity
21,200,other,isabella,rarities,sign,pogrom,tres,abominable,canard,ideogram,corfu,responsibility,indictees,ramsey,spectrum,eurostar,diameters,recounted,stanley,grenada,gto,declarative,musket,satyr,apologists,ige,lettering,toon,coloureds,gan,science,trouser,generalitat,salina,crassus,pals,pose,polygonal,contexts,republics,mun,lfheim,became,bridal,prominence,helaman,microcontrollers,gainsborough,metastable,alef,mandrakelinux,euston,winfrey,visually,nighttime,lubricant,inter,mehrgarh,subsection,pronunciations,hurrians,jammed,disagreements,pampas,retrieved,stuffed,chess,unintelligible,purge,sobel,yat,salvation,lubbers,oversee,admirable,col,raison,convulsions,issuing,interruption,multiracial,horticultural,shreck,rimbaud,deliberately,schumann,cmb,jewell,elsewhere,gi,dipyramid,ferrite,ets,painter,montt,billie,arthur,prudence,camera,yitzchak,chamberlain,kharkov
22,500,been,exotic,glittering,saimei,demographics,lapses,wwii,chimes,bayonets,mahmud,praia,liberating,isao,cascade,diesel,maslow,quadratic,broth,morally,distract,obrzeg,deprecating,fails,kilometres,adherents,element,foodstuffs,breached,capua,arendt,amc,repulse,subcultures,devry,charcot,rowan,roosevelt,wishful,davao,engages,landscape,effluents,normality,panhandle,alexei,itching,grotto,joins,pickens,leeds,hoe,conscription,lookout,gallant,clear,langley,sloti,interception,repair,battering,vitellius,republics,carnap,pseudonym,rockall,infinitely,neoplatonism,sulu,interpretive,nukem,caviar,dignity,improvisation,charon,westinghouse,nonconfirmative,argus,taj,monrovia,lyrically,internationale,organize,mansions,ramzi,venice,modernizing,overthrown,eloquence,rituals,uncontrollably,thorndike,euthanasia,colon,panthers,piazza,encounters,cpu,monika,evening,daughter,obe
23,500,time,engravers,gentle,pseudocode,shaft,revolutionized,ohlin,never,mexicana,milking,traversed,flamingo,cooperstown,regardless,laval,academia,counterparts,magadha,fichte,ime,minyan,becomes,resident,stapleton,menezes,coronae,statist,iic,nightlife,domitian,authorizes,commercials,nite,badge,shinogi,netherland,mccarthyism,marion,olympic,eval,splinter,vern,coyotes,laypeople,ujjain,soga,stow,enabled,ascetics,pda,oeis,amazonas,quaternary,europ,ambient,deferred,warez,aldehydes,drainage,lillee,vernet,asymmetrical,electrophilic,puns,household,wheat,continuously,geocache,semen,descendants,unspecific,dispersion,shaped,uncover,guildhall,raf,outcrops,recognition,beaton,evenly,logs,fenton,gallen,fergus,copyrights,ecology,supergroup,holbein,gein,antipope,doughnut,wha,alcoholism,unital,zebu,renn,harlan,momentary,viewpoints,nationalized,livonian
24,500,over,assassinate,launch,hoare,rewarded,galilee,rube,trier,empirically,manoeuvre,eur,patches,laboratories,katakana,proficient,appended,pact,cleese,retain,vantaa,custard,wikitravel,bunch,seclusion,integrate,erick,dowland,ethics,overloading,pentecostal,tasso,mejid,upstairs,constructing,jsp,mistresses,minotaurs,reachable,latinos,geometries,foucault,informative,reuse,pfc,roasting,foregone,precious,tempus,compagnie,raimi,distribution,quaestor,rigging,efficiency,halloween,superlatives,lovin,vanilla,skiego,prussia,gto,undermined,mckernan,sublime,mannered,tachycardia,scalability,kamehameha,gladiators,portage,gsm,gemstone,luther,dismissive,fouls,unrequited,surfing,invert,censor,heir,dresser,please,bidirectional,laurens,eudoxia,nasrallah,donahue,machen,database,conjecture,lassen,preferentially,logs,rod,mccourt,nationale,straining,org,divergent,radioisotopes,possessing
25,500,not,innocence,nominate,direct,uncertainties,muons,boomerang,loot,cistern,huckleberry,kings,tahiti,sweetener,christiern,wow,graphical,prescribe,xc,keyser,hydrosphere,armed,iron,manatee,bosco,cobb,hadrian,roleplay,traffickers,garb,sandpaper,opengl,cromwell,mutton,steffi,gbu,confidently,quaternion,germinate,prescriptive,akc,pitot,chalmers,southerner,milo,conjunction,metz,monograph,blanco,selectively,incapacity,timorese,nai,rubble,polluted,capsules,tethys,clauses,cursive,yell,nayla,hellenistic,photos,jurisdictions,ethnographers,mcenroe,hwv,simcity,mishnaic,amongst,slovaks,maclennan,srivijaya,rockville,rerum,lexikon,arabic,thoroughbred,gerard,tasman,autostrada,propel,semper,hermetical,objectivism,warbird,transoxiana,protons,gimps,indra,competitions,subduction,roundel,channing,timescale,kilkenny,slipper,entropic,food,subfields,tasting,purchasing
26,500,three,maccabean,navis,hexagrams,dispel,intuitionist,scullin,photosynthesis,feeder,navigation,request,interdisciplinarity,askari,minivan,canaries,xerox,maltose,militare,terribly,fushimi,sonnet,kamen,tinted,margins,narrower,punctured,diffusion,stood,anger,guilt,refracted,hani,baron,lastnode,assemblages,quisling,refugees,lucie,hierarchy,sports,basing,manic,flint,sparsely,emirs,failings,colonialism,valued,hoax,bangla,checked,wikisource,unwitting,servicing,mitchell,sandstone,duct,afp,commemorative,craft,eisenstein,extermination,sizing,kant,bushy,aetius,freising,boii,daimlerchrysler,salinger,hessian,specification,actinidia,signet,jadwiga,gazette,catastrophe,lerner,urartu,mtu,investigated,smallville,inserts,etruria,sweep,cycladic,unused,sprouted,petitioning,heated,haikai,ramsay,housemate,handmade,meru,residential,afforded,thermometers,oddie,gnome,subset
27,500,between,heraclea,mamre,experimented,karl,beauvoir,aldrich,lucasfilm,viewership,alludes,gu,cancels,thinks,timescales,watched,unfree,rubbish,reissue,ionization,luis,youngest,sloane,cel,restrain,whenever,galton,priests,shapiro,properties,movie,year,ascend,waldseem,nearer,audi,bounces,path,sandro,mathias,contraceptive,rattle,mfm,diplomas,glassy,eleusinian,shetland,purchasers,partnership,gilded,adopt,suspensions,impoverished,resistor,meandering,mixtures,prohibiting,watkins,bryozoans,tetrahedra,furigana,transcend,watford,bulldogs,australes,voicing,jsf,infection,microprogramming,richthofen,circled,lfflin,antoine,sandwich,encode,mescaline,posthumous,misleadingly,behaves,rg,asturias,recoverable,bathtub,forges,beretta,transformer,fink,dolphin,anomalies,auc,jg,dead,curtains,restrained,ai,kista,him,dominicans,murdered,isabel,anaesthetics,dismantled
28,500,from,rem,ducks,palpatine,smithers,ever,unification,democracy,badlands,viet,vices,kinky,aris,isotope,impoverished,garis,awaits,atypical,ats,county,silverman,gandy,verbs,aground,martialed,kilowatt,blurring,melissa,amerigo,chromatography,instrument,downey,bassline,britten,niccolo,luisa,hogshead,anointing,portillo,basica,dictation,lactam,puppetry,uplift,neither,gtp,kasparov,immortalised,pullman,bulldog,ayrton,mckinney,mistake,anabaptism,nonmetals,spawning,ramon,tires,drowsiness,critique,orientalist,squeeze,rachmaninoff,prussia,compiles,binghamton,bianca,addons,dalglish,synchronize,smitten,stretched,petitions,cochrane,proconsular,valencia,uncontroversial,sled,odense,pancho,golf,xxix,thunderstorm,radiology,meetings,ziggy,metaphoric,coco,rightmost,plea,lahoud,reverence,tabriz,ascribe,valid,bukovina,lessen,charterers,disks,tod,uncovering
29,500,eight,cornerback,agonists,grams,timecode,margrethe,stockholders,indians,tem,vittoria,kr,seawater,kazakhstan,chimera,subterranean,gnome,buyout,familia,practices,graves,compacted,managua,caddy,basset,turnbull,hicks,glasnost,neuroimaging,goggles,subscription,mamluk,tropospheric,eponym,alhazen,dopant,leather,truer,rachmaninoff,sennett,barred,destructor,negroes,oas,basses,thru,maxwell,helms,historical,desmodromic,haikai,unimpressed,agent,mismanagement,spectacular,presbyter,slimmer,manga,truth,afonso,lengths,audiovisual,iranian,fpgas,slowly,yea,glycosides,bully,geared,mahdi,odin,barberini,dempsey,verdeans,dandyism,carmack,edif,diatomaceous,wrote,millsaps,tackling,jock,turnip,myrrh,leprosy,hypomanic,auguste,metaphorically,isla,wizards,addons,ayyash,wu,usurpation,recorded,hague,commentaries,rebate,hires,finite,muscovy,manatus
30,500,they,contentious,morgan,triumphant,selwyn,century,affinities,decibel,idris,fibre,outcrops,apart,aussie,frisians,obtains,spurred,physiologic,ark,commutation,plateaus,exchanging,outreach,ackroyd,airships,ferroelectric,universidade,escorial,guinevere,saline,berthold,innovators,petrochemicals,amateurs,krylov,inaugurated,mazzola,dtd,grades,central,ideation,editing,hiking,harpo,mistress,dukkha,hillman,jg,matrix,mbta,cesium,musketeers,identical,grothendieck,inexpensively,peninsular,exploitation,rsc,armchair,outward,chinatown,bridgeport,contexts,glitter,sailed,cuzco,raider,conciliatory,lucius,corps,injecting,diligent,fountain,alen,bellini,centers,cahokia,population,tunings,problem,cfo,nansen,griffiths,prairie,stratosphere,louisbourg,miso,arbuckle,kushans,monday,regulated,broadway,madeline,segmented,our,halfwidth,coexisted,wonderswan,protests,revolution,delineate,anointed
